review_text,rating
요즘 날씨가 추워져서 따뜻하게 입을 만한 바지를 찾다가 후러브스아트 기모버전을 구매했어요. 허리 밴딩도 쫀쫀한 편이라 흘러내리지 않아서 활동할 때 편했어요. 기장은 조금 줄이긴 했지만 넘 만족합니다,5
재작년엔M사이즈사고 올핸L사이즈또샀어요.,4
편하게 전투용으로 입을 수 있는 가성비 좋은 슬랙스.,5
배송도 빠르고 이렇게 편한 슬랙스를 이제 알았다니.. 너무 이쁘고 편하네요,5
마감 상태 좋고 추워지고 입으니 따뜻해서 좋아요,5
밴딩이 편해서 출근할때 입기 너무 좋습니다 자주입고있어요,5
기모라서 두꺼울줄 알았는데 전혀 그렇지 않네요 핏도 좋고 기장도 길어서 와이드한 느낌 잘나요 따듯하고 이쁘게 입을수있어서 만족해요,5
사이즈가 생각한거보다는 크고 길이가 길어요 배송은 빨라서 좋아요,4
"따뜻함 + 겨울용 실용성 충족 – 안쪽이 기모 처리된 덕분에, 찬 바람 부는 날에도 일반 슬랙스보다 보온감이 훨씬 좋았어. – 겨울철 출근이나 외출용으로 부담 없이 입기 좋고, 겨울용 청바지/코트 대신 슬랙스로 깔끔하고 단정하게 연출 가능하다는 점이 마음에 듦.",5
"따뜻함 + 겨울용 실용성 충족 – 안쪽이 기모 처리된 덕분에, 찬 바람 부는 날에도 일반 슬랙스보다 보온감이 훨씬 좋았음. – 겨울철 출근이나 외출용으로 부담 없이 입기 좋고, 겨울용 청바지/코트 대신 슬랙스로 깔끔하고 단정하게 연출 가능하다는 점이 마음에 듦.",4
전에 구입해서 입고 재구매했는데 통도 많이 크고 허리밴딩은 짱짱하지않아서 흘러내리네요,3
지난번 구매했을때는 허리 밴딩 조절끈이 없었는데 재구매해보니 추가되었어요,5
빠른배송감사합니다 기장살짝길어서 자른거빼곤 만족 한치수아래도 도전해볼만,5
빠른 배송이며 바지 편해서 수년전 부터 계속 종류별로 구매하고 잘 입습니다! 헤지거나 그래서가 아니라 오래입어도 세탁기에 막돌려도 짱짱합니다.,5
옷길이랑 재질이좋아서 옷길이가 이쁘게 떨어져서 다리길어보여요,5
일단 기모라서 따듯하고 핏이 기모라 별로일줄 알았는데 생각보다 핏이 이뻐요 기장도 너무 맘에드네요 잘입을게요 다른분들도 구매ㄱㄱ,5
편해서 같은옷 구입입니다. 구입할때마다 약간의 원단차이는 있는거 같으나 만족합니다,4
사이즈 딱 좋아요 편하게 입기 딱 좋아요 기모도 빵빵하고 ㅎㅎ 잘 샀다고 생각합니다,5
배송빨라요 기장이 조금 길긴한데 괜찮아요 추천합니다,5
기장이 조금 길긴한데 괜찮습니다 추천합니다! 배송도 빨랐어요,5
핏도 좋고 가성비가 아주 좋아서 이번 겨울에 잘 입을 것 같아요!,5
"데일리로 입기 좋을 것 같아요. 기모라 가을, 겨울철에도 유용할 듯요ㅎ",5
여름 슬랙스 구매해서 입다가 겨울 기모버전 나와서 또 샀어요. 밴딩이라 편하고 좋아요.,4
후러브스아트 슬랙스 세미와이드라 통도 적당하고 기모가 두툼해서 따뜻해요.,4
벌써 다섯벌째입니다 말이 필요없음다 올해 나온기모가 작년꺼보다 좋은듯요 좋은상품감사합니다,5
"배송 빨라 , 가격 착해 , 핏 좋아 , 편해 👍🏻👍🏻👍🏻 믿고 4벌째 에요 -",5
빠르게 잘받았습니다 따숩게 잘입을게요 수고하세요 ~,4
M이 더 어울렸는데 허리가 좀 답답해서 L로 하니 딱 맞고 편했음,5
옷이 엄청 예쁘네요 블프라서 가격좋게 구매 잘한듯,5
가격 저렴하게 사서 좋습니다. 세일 잘 맞춰서 사시면 좋습니다,5
무신사 블프로 샀는데 편하고 좋아요 잘샀어요 잘입을게요,5
사이즈 잘맞고 재질 기모라 따뜻할거 같아요.고무줄 밴딩이라 편안합니다.잘입겠습니다.,3
도툼하고 스타일 핏좋고 날씬해보여요 기장도 딱 좋아요,5
허리밴딩이 편하서 좋아요 가성비도 너무 좋습니당,5
논기모 구매했었다가 넘 좋아서 겨울용 기모도 구매했어요 가성비 좋아요,5
기모아닌 버전을 입었는데 편하고해서 기모버전도 구입해봤는데 기모버전이 전체적으로 같은 사이즈대비 약긴 큰 느낌입니다 그것만 감안하면 이 가격에 좋은 바지같네요,4
한사이즈 큰걸로 또 주문했어요 마음에들어요 굿,5
깔끔하고 핏이 적당하게 떨어지네요. 군더더기 없는 기본 블랙 팬츠입니다.,5
찾고 있었던 스타일의 바지네요. 핏도 예쁘게 나왔어요. 추운날에 입기에도 괜찮겠어요.,5
슬랙스 중에서 가장 무난 하고 좋은 것같아요 몇년은 입을듯,5
기모 바지 별로 안 좋아했는데 완전 마음에 들어요,5
허리고무줄진짜편하다고 너무 좋다고하네요 약간 반짝거리는 재질인데 따뜻하게 편하게 입을수있을것같데요 평소 하의 34~36입습니다,5
배송 빠르게 왔고 기모가 있어서 겨울이 따뜻하게 입고 다닐 수 잇겟어요.,5
기모 바지 인데도 스타일이나 핏이 예뻐요. 허리 밴드도 잘 되어 있어서 금방 늘어지지 않겠어요. 박음질등 마감처리 깨긋해요. 한치수 크게 입어도 괜찮을 것 같아요.,5
편하게 코디하기 좋아요. 가성비 좋아요. 만족합니다.,5
점점바뀌네요 허리밴드 너무헐렁해요 길이도한단길어지고,4
잘받았습니다 매년 구매합니다 편하고 이쁘고 따듯하고,5
너무편하고너무시원하고너무너무너무좋아요,5
우선 겉의 모습이 슬랙스임에도 허리는 밴딩이 있고 재질 자체도 신축이 있어가지고 굉장히 편했습니다! 벨트 차기 귀찮아하는 제게는 안성맞춤인 옷인 것 같습니다.,5
"슬랙스 벨트 차기 귀찮아서 밴딩으로된 슬랙스 바지 찾고 있었는데, 좋은 가격에 좋은 품질처럼 보여서 구매했습니다! 역시 벨트 안차도 되서 좋네요",5
가격저렴하고 재질 괜찮고 기모들어가있고 휘뚜루마뚜루 좋아요,5
오버핏이고 밴딩이라서 입기 편합니다 감사합니다,5
일반 슬랙스 구입하고 기모도 추가해서 구입했어요. 가격대비 만족!,5
기모라 따뜻하고 신축성 좋습니다. 빠른 배송 올겨울 입어보고 재구매 결정하겠습니다,5
전에 m사이즈 사서 입었는데 길이가 조금 짧아서 l사이즈로 새로 구매했어요. 저렴한 가격에 겨울에 편하고 따뜻하게 입을 수 있어서 재구매했습니다.,4
따뜻하고 핏도 괜찮아요. 이번 겨울 국밥처럼 든든해요,5
"키 181 대학생 아들 입기 너무 좋네요. 핏도 정말 예쁘고, 길이도 딱 이쁘게 잘 맞습니다. 다른 컬러도 구매해야 겠어요 ^^",5
빠른배송이며 편하게 입을 수 있을거 같은 디자인입니다.,4
